hashtagId,text
1,LED
2,crafts
3,qualitymanagement
4,quality
5,qualiyvision2020
6,qms
7,ehs
8,qualityvision2020
9,safety
10,etq
11,Miami
12,CreativeInnovator
13,QualityCreates
14,dataviz
15,EarthDay
16,datavisualization
17,Dataviz
18,COVID19
19,EarthDay2020
20,Datavisualization
21,EarthDay50
22,NightingaleEarthWeek
23,DataVisualization
24,DataViz
25,datavisualisation
26,coronavirus
27,Isotype
28,BusinessIntelligence
29,color
30,colortheory
31,d3js
32,SniffTest
33,VizResponsibly
34,StayHome
35,Tableau
36,D3js
37,uxdesign
38,Covid_19
39,Dashboard
40,viz
41,Brexit
42,mapping
43,InformationDesign
44,Mapping
45,Wimbledon
46,gender
47,datavis
48,IWD2020
49,DataVisualizaion
50,Charts
51,GraphicsDesign
52,Formula1
53,ict4d
54,graphicdesign
55,italy
56,flavialunardi
57,GraficaItalia
58,isiaurbino
59,datavizlive
60,WorldHealthDay
61,NursesAndMidwives
62,hydroxychloroquine
63,COVIDー19
64,NIH
65,NovartisNews
66,reimaginingmedicine
67,data
68,AIOps
69,acquainted
70,Apis
71,ipaas
72,trailhead
73,ApiAdvice
74,MachineLearning
75,IoT
76,Creativity
77,Data
78,DataScience
79,DataScientist
